no	n o |
vendas	v e n d a s |
la	l a |
piel	p i e l |
de	d e |
oso	o s o |
antes	a n t e s |
haberlo	h a b e r l o |
cazado	c a z a d o |
estas	e s t a s |
gafas	g a f a s |
se	s e |
las	l a s |
ha	h a |
regalado	r e g a l a d o |
julia	j u l i a |
necesito	n e c e s i t o |
pedirte	p e d i r t e |
una	u n a |
cosa	c o s a |
padre	p a d r e |
ya	y a |
te	t e |
tengo	t e n g o |
miedo	m i e d o |
los	l o s |
palacios	p a l a c i o s |
palenque	p a l e n q u e |
ella	e l l a |
sola	s o l a |
lenta	l e n t a |
muy	m u y |
lentamente	l e n t a m e n t e |
compramos	c o m p r a m o s |
el	e l |
mejor	m e j o r |
vino	v i n o |
a	a |
caballo	c a b a l l o |
corredor	c o r r e d o r |
y	y |
hombre	h o m b r e |
reñidor	r e ñ i d o r |
poco	p o c o |
les	l e s |
dura	d u r a |
honor	h o n o r |
viene	v i e n e |
nirvana	n i r v a n a |
portal	p o r t a l |
místico	m í s t i c o |
aguarda	a g u a r d a |
gobierno	g o b i e r n o |
turco	t u r c o |
me	m e |
da	d a |
gente	g e n t e |
haciendo	h a c i e n d o |
cola	c o l a |
para	p a r a |
comprar	c o m p r a r |
un	u n |
iphone	i p h o n e |
como	c o m o |
ave	a v e |
por	p o r |
cielo	c i e l o |
muero	m u e r o |
ducha	d u c h a |
yo	y o |
he	h e |
terminado	t e r m i n a d o |
puedes	p u e d e s |
pasar	p a s a r |
uh	u h |
correcto	c o r r e c t o |
permiso	p e r m i s o |
concedido	c o n c e d i d o |
era	e r a |
raquítico	r a q u í t i c o |
sordo	s o r d o |
piti	p i t i |
si	s i |
vilma	v i l m a |
quiere	q u i e r e |
hacer	h a c e r |
amor	a m o r |
contigo	c o n t i g o |
deseo	d e s e o |
que	q u e |
compres	c o m p r e s |
alto	a l t o |
quién	q u i é n |
anda	a n d a |
ahí	a h í |
ne	n e |
abuela	a b u e l a |
quedaba	q u e d a b a |
dormida	d o r m i d a |
mientras	m i e n t r a s |
leía	l e í a |
bajad	b a j a d |
chicos	c h i c o s |
es	e s |
hora	h o r a |
juegos	j u e g o s |
vamos	v a m o s |
cazar	c a z a r |
rayos	r a y o s |
pensado	p e n s a d o |
marina	m a r i n a |
juega	j u e g a |
al	a l |
bingo	b i n g o |
has	h a s |
hecho	h e c h o |
bastante	b a s t a n t e |
reyes	r e y e s |
magos	m a g o s |
pasan	p a s a n |
en	e n |
abril	a b r i l |
aguas	a g u a s |
mil	m i l |
amores	a m o r e s |
reñidos	r e ñ i d o s |
son	s o n |
más	m á s |
queridos	q u e r i d o s |
cara	c a r a |
fea	f e a |
alegría	a l e g r í a |
hermosea	h e r m o s e a |
contesté	c o n t e s t é |
quiero	q u i e r o |
marisa	m a r i s a |
papi	p a p i |
bien	b i e n |
todos	t o d o s |
éste	é s t e |
asalto	a s a l t o |
nadie	n a d i e |
mueva	m u e v a |
busqué	b u s q u é |
arriba	a r r i b a |
abajo	a b a j o |
cariño	c a r i ñ o |
todo	t o d o |
lo	l o |
pude	p u d e |
encontrar	e n c o n t r a r |
fue	f u e |
su	s u |
sombrero	s o m b r e r o |
ello	e l l o |
falsa	f a l s a |
delación	d e l a c i ó n |
oye	o y e |
ven	v e n |
acá	a c á |
ve	v e |
sacar	s a c a r |
esta	e s t a |
caja	c a j a |
herramientas	h e r r a m i e n t a s |
correo	c o r r e o |
del	d e l |
mar	m a r |
cuidado	c u i d a d o |
estamos	e s t a m o s |
juntos	j u n t o s |
noche	n o c h e |
han	h a n |
quemado	q u e m a d o |
contenedor	c o n t e n e d o r |
frente	f r e n t e |
casa	c a s a |
bravo	b r a v o |
pienso	p i e n s o |
será	s e r á |
suficiente	s u f i c i e n t e |
teclado	t e c l a d o |
estaba	e s t a b a |
lleno	l l e n o |
muelles	m u e l l e s |
veces	v e c e s |
buenos	b u e n o s |
nadadores	n a d a d o r e s |
ahogan	a h o g a n |
mejores	m e j o r e s |
jinetes	j i n e t e s |
caen	c a e n |
pero	p e r o |
moveos	m o v e o s |
vi	v i |
ciudad	c i u d a d |
fundaron	f u n d a r o n |
dieron	d i e r o n |
abolengo	a b o l e n g o |
valentía	v a l e n t í a |
tasca	t a s c a |
telma	t e l m a |
siempre	s i e m p r e |
tenía	t e n í a |
parroquianos	p a r r o q u i a n o s |
color	c o l o r |
morado	m o r a d o |
eso	e s o |
nada	n a d a |
cuando	c u a n d o |
tranquiliza	t r a n q u i l i z a |
fray	f r a y |
lope	l o p e |
semana	s e m a n a |
nosotros	n o s o t r o s |
exacto	e x a c t o |
mozilla	m o z i l l a |
fundación	f u n d a c i ó n |
busca	b u s c a |
libertad	l i b e r t a d |
web	w e b |
cada	c a d a |
cual	c u a l |
sabe	s a b e |
donde	d o n d e |
le	l e |
aprieta	a p r i e t a |
zapato	z a p a t o |
nos	n o s |
hallábamos	h a l l á b a m o s |
campo	c a m p o |
jarochos	j a r o c h o s |
mitad	m i t a d |
bandoleros	b a n d o l e r o s |
pastores	p a s t o r e s |
conseguimos	c o n s e g u i m o s |
descarga	d e s c a r g a |
podemos	p o d e m o s |
reanimarlo	r e a n i m a r l o |
perfectamente	p e r f e c t a m e n t e |
contentos	c o n t e n t o s |
con	c o n |
nuestro	n u e s t r o |
médico	m é d i c o |
familia	f a m i l i a |
hagas	h a g a s |
experimentos	e x p e r i m e n t o s |
resistencia	r e s i s t e n c i a |
ser	s e r |
humano	h u m a n o |
gran	g r a n |
parte	p a r t e |
agua	a g u a |
río	r í o |
suena	s u e n a |
lleva	l l e v a |
número	n ú m e r o |
guerras	g u e r r a s |
mundo	m u n d o |
bajo	b a j o |
nunca	n u n c a |
dejas	d e j a s |
trabajar	t r a b a j a r |
sofocada	s o f o c a d a |
entre	e n t r e |
mis	m i s |
brazos	b r a z o s |
murmuró	m u r m u r ó |
desmayo	d e s m a y o |
cuánto	c u á n t o |
alegro	a l e g r o |
veros	v e r o s |
criolla	c r i o l l a |
asustada	a s u s t a d a |
divertida	d i v e r t i d a |
agarra	a g a r r a |
crespos	c r e s p o s |
cabellos	c a b e l l o s |
gigante	g i g a n t e |
qué	q u é |
hermoso	h e r m o s o |
destino	d e s t i n o |
ese	e s e |
juan	j u a n |
guzmán	g u z m á n |
pasaremos	p a s a r e m o s |
unos	u n o s |
días	d í a s |
balneario	b a l n e a r i o |
marta	m a r t a |
gracias	g r a c i a s |
ayudarnos	a y u d a r n o s |
sido	s i d o |
milagro	m i l a g r o |
verdad	v e r d a d |
interesantes	i n t e r e s a n t e s |
pinturas	p i n t u r a s |
ver	v e r |
carne	c a r n e |
entiendo	e n t i e n d o |
alguien	a l g u i e n |
usted	u s t e d |
puede	p u e d e |
esto	e s t o |
pistola	p i s t o l a |
pensaba	p e n s a b a |
ni	n i |
mi	m i |
hermana	h e r m a n a |
ciegos	c i e g o s |
tullidos	t u l l i d o s |
enanos	e n a n o s |
lacerados	l a c e r a d o s |
acosaban	a c o s a b a n |
perseguían	p e r s e g u í a n |
trabaja	t r a b a j a |
vivieres	v i v i e r e s |
vive	v i v e |
murieses	m u r i e s e s |
hoy	h o y |
demasiado	d e m a s i a d o |
corto	c o r t o |
necesitamos	n e c e s i t a m o s |
monos	m o n o s |
algo	a l g o |
cuesta	c u e s t a |
tienen	t i e n e n |
pan	p a n |
corrido	c o r r i d o |
tinta	t i n t a |
vale	v a l e |
mucho	m u c h o |
saber	s a b e r |
tener	t e n e r |
cuánta	c u á n t a |
batería	b a t e r í a |
queda	q u e d a |
guardo	g u a r d o |
alma	a l m a |
tantos	t a n t o s |
estos	e s t o s |
alejé	a l e j é |
arrastrando	a r r a s t r a n d o |
niña	n i ñ a |
chole	c h o l e |
llegamos	l l e g a m o s |
tarde	t a r d e |
todas	t o d a s |
partes	p a r t e s |
culpa	c u l p a |
encargaba	e n c a r g a b a |
acuerdo	a c u e r d o |
volviéronse	v o l v i é r o n s e |
contra	c o n t r a |
mí	m í |
alzando	a l z a n d o |
amenazador	a m e n a z a d o r |
despecho	d e s p e c h o |
creo	c r e o |
apetece	a p e t e c e |
tortilla	t o r t i l l a |
patata	p a t a t a |
ensalada	e n s a l a d a |
puedo	p u e d o |
creer	c r e e r |
primero	p r i m e r o |
octubre	o c t u b r e |
día	d í a |
histórico	h i s t ó r i c o |
olvidaremos	o l v i d a r e m o s |
perdón	p e r d ó n |
bueno	b u e n o |
seguir	s e g u i r |
reparando	r e p a r a n d o |
nave	n a v e |
señor	s e ñ o r |
romperemos	r o m p e r e m o s |
algunas	a l g u n a s |
reglas	r e g l a s |
sale	s a l e |
acabarás	a c a b a r á s |
burlas	b u r l a s |
porque	p o r q u e |
viaje	v i a j e |
veinte	v e i n t e |
tostones	t o s t o n e s |
quien	q u i e n |
mal	m a l |
acaba	a c a b a |
tienes	t i e n e s |
huevo	h u e v o |
sospecha	s o s p e c h a |
aunque	a u n q u e |
tenido	t e n i d o |
usar	u s a r |
estuve	e s t u v e |
contacto	c o n t a c t o |
musical	m u s i c a l |
rey	r e y |
león	l e ó n |
gusta	g u s t a |
mañana	m a ñ a n a |
amanecer	a m a n e c e r |
misma	m i s m a |
hacerlo	h a c e r l o |
seas	s e a s |
zafio	z a f i o |
gamboa	g a m b o a |
voy	v o y |
pidiendo	p i d i e n d o |
lanzamiento	l a n z a m i e n t o |
logramos	l o g r a m o s |
desear	d e s e a r |
damos	d a m o s |
paseo	p a s e o |
sereno	s e r e n o |
otoño	o t o ñ o |
invierno	i n v i e r n o |
ventoso	v e n t o s o |
perro	p e r r o |
vecinos	v e c i n o s |
bordado	b o r d a d o |
toda	t o d a |
miente	m i e n t e |
huye	h u y e |
adela	a d e l a |
trae	t r a e |
cabeza	c a b e z a |
enamorado	e n a m o r a d o |
alcalde	a l c a l d e |
tonto	t o n t o |
sentencia	s e n t e n c i a |
